vehicle_id,license_plate,station,mileage,Booking Pickup Date,Booking Return Date,LINK TO WAVE
1FDWE3FN1SDD39082,CSN0220,Los Angeles,32354,19/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/13911/edit
1FDWE3FNXTDD00363,CRS7905,Los Angeles,41825,25/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/13938/edit
WV2ZZZ7HZPH046820,WI RS 3217,Lyon,87596,28/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/8729/edit
WV2ZZZST1SH024399,WI RC 2012,Madrid,10806,4/11/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/16082/edit
WV2ZZZ7HZPH047243,WI RS 3824,Malmo,93416,30/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/8656/edit
WMA36VUY7R9017589,FH24GYK,Manchester,28273,31/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/10940/edit
WV2ZZZ7HZNH037718,WI RS 1654,Milan,93903,24/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/6028/edit
WV2ZZZ7HZNH052079,WI RS 1358,Milan,92988,4/11/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/6541/edit
VF7YGBPAU12X09059,WI RS 4864,Milan,51931,25/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/10298/edit
WV2ZZZ7HZPH079933,WI RS 4403,Munich,63707,15/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/8257/edit
WV1ZZZSY3P9010568,WI RS 2619,Munich,93713,3/11/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/7146/edit
WV1ZZZSY3P9047569,WI RS 4227,Munich,88096,31/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/8871/edit
WV1ZZZSY8R9038059,WI RS 6536,Munich,39300,30/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/10826/edit
ZFA25000002Y93187,WI RS 6619,Munich,30568,31/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/13191/edit
WV2ZZZST7SH028179,WI RC 1961,Munich,18593,31/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/16049/edit
ZFA250000SMB25659,WI RS 8455,Nice,15182,13/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/15930/edit
ZFA25000002Z17471,WI RS 7282,Nuremberg,40830,17/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/13056/edit
WV2ZZZ7HZRH039327,WI RS 5212,Paris Airport (CDG),44694,31/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/12211/edit
1FDWE3FN8SDD32839,CRS1911,Phoenix,41136,31/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/13855/edit
VF3YGCPAU12V34987,M RC 1684,Rome,45071,31/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/5557/edit
VF3YLCPFCPG003828,WI RS 5175,Salzburg,89991,29/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/5355/edit
ZFA250002SMB14209,WI RS 8032,Salzburg,18462,31/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/15867/edit
3C6MRVJG8SE523283,CRS2123,San Francisco,29740,17/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/13873/edit
3C6MRVJG1SE517972,CRS7535,San Francisco,31049,29/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/15761/edit
3C6MRVJG5SE517974,CRS7556,San Francisco,32554,30/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/15751/edit
3C6MRVJG9PE607085,CSN0330,San Francisco,76475,22/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/11140/edit
1FDWE3FN6TDD00425,CRS7922,San Francisco,31588,1/11/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/13934/edit
1FDWE3FN0SDD41695,CSN0438,San Francisco,30232,24/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/15578/edit
ZFA250000SMA92100,WI RS 7933,Sevilla,22543,31/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/15226/edit
WV2ZZZ7HZNH049071,WI RS 1936,Sevilla,70685,25/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/6395/edit
WV2ZZZ7HZNH049102,WI RS 1070,Sevilla,103393,29/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/5745/edit
WV1ZZZSY3P9004186,WI RS 2488,Sevilla,88182,25/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/7205/edit
WV1ZZZSY3P9035261,WI RS 3105,Sevilla,87966,30/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/8756/edit
WV2ZZZ7HZMH110682,WI RS 1021,Stockholm,113528,31/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/3340/edit
ZFA25000002V68004,WI RS 3012,Stockholm,70597,8/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/6825/edit
W1V44781313875752,WI RC 2171,Stuttgart,52000,4/11/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/3510/edit
ZFA25000002Y97388,WI RS 6610,Stuttgart,54645,30/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/10862/edit
WV2ZZZ7HZPH078709,WI RS 4485,Toulouse,83447,15/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/8294/edit
ZFA25000002W02371,WI RS 3038,Toulouse,64079,8/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/6934/edit
WMA36VUY0P9015390,WI RS 4254,Trier,72813,31/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/9710/edit
WV1ZZZSY3R9063144,WI RS 7205,Ulm,65506,31/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/12056/edit
WV1ZZZSY5R9064229,WI RS 7363,Ulm,64350,31/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/12183/edit
WV2ZZZ7HZNH053130,WI RS 1427,Valencia,120510,21/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/6506/edit
ZFA250005SMB27732,WI RS 8435,Valencia,20936,27/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/15947/edit
3C6MRVJG9PE570510,WW735F,Vancouver,48701,24/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/13253/edit
ZFA250008SMB09757,WI RS 7898,Vienna,21507,30/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/15227/edit
WV1ZZZSY9P9034020,WI RS 3196,Vienna,85244,31/10/2025,5/11/2025,https://backoffice.roadsurfer.com/vehicles/8841/edit
