Station_Fix,Station_Master,Latitude,Longitude,HasCoordinates
Aix-Marseille,Aix-Marseille,43.4223019463022,5.36940268206746,True
Amsterdam,Amsterdam,52.283852752212,4.83547866940736,True
Antwerp,Antwerp,51.1302033646883,4.37718927103876,True
Augsburg,Augsburg,48.4314947245095,10.864554267433,True
Barcelona,Barcelona,41.320791206754,2.02997321918418,True
Bergamo,Bergamo,45.6057540943007,9.58695709803728,True
Bergen,Bergen,60.2742488137421,5.23394993714433,True
Berlin,Berlin,52.5629114116713,13.3255919532439,True
Berlin-Schönefeld,Berlin - Schönefeld,52.3681032736909,13.5614026820795,True
Bielefeld,Bielefeld,52.0846641356676,8.50980212259074,True
Bilbao,Bilbao,43.2876533808652,-2.87875811552007,True
Bologna,Bologna,44.5126837064221,11.1721377220591,True
Bordeaux,Bordeaux,44.8206554252745,-0.693445457672454,True
Bremen,Bremen,53.0173957132126,8.86621907389118,True
Brussels,Brüssel,50.760744771265,4.25150432526115,True
Cologne-Bonn,Cologne-Bonn,50.8209154712882,6.8114980627927,True
Cologne-Bonn ext. parking,,,
Cologne-Dusseldorf,Cologne-Düsseldorf,51.1072594170834,6.82141407896031,True
Constance,Constance,47.8327958427904,8.86502987941081,True
Dresden,Dresden,51.0856354733332,13.7573398062078,True
Edinburgh,Edinburgh,55.9203724008336,-3.49986962126005,True
Erfurt,Erfurt,51.0305276548245,11.005646515969,True
Faro,Faro,37.0791114541835,-7.9923288488134,True
Frankfurt ext. parking,,,
Freiburg-Basel (Germany),Freiburg-Basel,48.0353509797082,7.64729240912455,True
GFK Workshop Munich,,,
Geneva-Pays de Gex,Geneva-Pays de Gex,46.2040256966843,5.96096888888237,True
Gothenburg,Gothenburg,57.6584104972838,11.9427042029748,True
Graz,Graz,47.0370330630993,15.4782362667529,True
Hamburg,Hamburg,53.5372775704589,10.0777185902227,True
Hamburg ext. parking,,,
Hannover,Hannover,52.3618518418704,9.90545717628807,True
Hannover ext. parking,,,
Heidelberg,Heidelberg,49.3966909273246,8.68006473476693,True
Karlsruhe,Karlsruhe,48.9364328101445,8.37640687676356,True
Kassel,Kassel,51.296632473151,9.5438220064725,True
Kiel,Kiel,54.2770975545429,10.1395197705094,True
Leipzig,Leipzig,51.3592089248056,12.4377840962099,True
Lille,Lille,50.5615313121419,3.0400229379113,True
Lindau-Wangen,Lindau-Wangen,47.6859467243135,9.83841640020132,True
Lisbon,Lissabon,38.9049988251368,-9.03918083468659,True
London,London,51.6928761918044,-0.0298927431231628,True
Lyon,Lyon,45.8438150314049,5.06276807135596,True
Madrid,Madrid,40.3249318724446,-3.8373593332309,True
Malaga,Malaga,36.7362831948979,-4.4619551958875,True
Milan,Milan,45.504830084565,9.11455425579581,True
Munich,Munich,48.2054591010766,11.5869188593758,True
Munich - BayernGarage parking space,,,
Nantes,Nantes,47.2616909524451,-1.50152858718477,True
Nice,Nice,43.7512504844108,7.17947649789872,True
Nuremberg,Nürnberg,49.3964133310154,11.016858822214,True
Oslo,Oslo,59.8260292769429,10.8245825564266,True
Paris,Paris,48.8739523159712,2.438936072526,True
Paris Airport (CDG),Paris Airport,49.0227800013268,2.46619114385528,True
Porto,Porto,41.175836454193,-8.66721498421569,True
Ravenna,Ravenna,44.3868872890571,12.2186921738251,True
Rome,Rome,41.9046493705127,12.5787125049382,True
Rotterdam,Rotterdam,52.0254100766111,4.43967142347647,True
Salzburg,Salzburg,47.8260322168983,13.0348155537851,True
Sevilla,Sevilla,37.3471383220005,-5.86313191567246,True
Stockholm,Stockholm,59.530286136355,18.1106341543136,True
Straßburg,Straßburg,48.5421924933389,7.787750160589,True
Stuttgart,Stuttgart,48.8292948855569,9.13241531162552,True
Toulouse,Toulouse,43.6992313515156,1.40124159804221,True
Trier,Trier,49.6844988192113,6.55663793041912,True
Turin,Turin,45.1118628426802,7.67509471151495,True
Valencia,Valencia,39.3566451500567,-0.458995917475746,True
Venice,Venice,45.4658545445799,12.1755081673448,True
Vienna,Vienna,48.2659494972504,16.463317272953,True
Vienna-South,Vienna-South,48.1331961388021,16.2957634922713,True
Würzburg,Würzburg,49.7314641366598,9.97126155583367,True
Zurich (Wetzikon),Zürich,47.3137648670524,8.79714258274343,True
